videoId,artists,title,tempo,key,mode,minor_score,bittersweet,key_strength,percussive,energy_rms,dynamics,brightness,rolloff,bandwidth,flatness,zcr,contrast,onset_rate,pulse_clarity,mfcc1,mfcc2,mfcc3,mfcc4,status
0bN-u_MUpjE,kizaru,Что за бизнес сука?,136.0,D,minor,0.562,0.876,0.688,0.269,0.3334,0.427,2156.5,4688.0,2488.0,0.0106,0.0629,23.942,4.78,0.764,97.09,21.95,22.46,15.98,ok
nujqe_36Qng,Mirèle,Эстетика Грустных Людей (Live),129.2,C,major,0.38,0.76,0.782,0.298,0.2571,0.462,2859.9,6342.8,2903.2,0.0304,0.1136,22.604,5.11,0.881,69.32,9.99,20.89,2.01,ok
ylizQQ73PAw,ASIA ZONE & COVER DANCE NN,RuVie – Viviz – Maniac [ASIA ZONE | OPEN AIR],117.5,D,major,0.445,0.89,0.755,0.178,0.1795,0.134,1614.2,3177.3,1923.9,0.0064,0.0728,22.337,3.05,0.876,131.12,-16.17,20.36,-5.85,ok
KoPwry2jtG8,"забей, лерочка",тебя здесь нет,152.0,G,major,0.448,0.896,0.553,0.157,0.2935,0.217,2038.9,4251.5,2317.6,0.0142,0.0827,22.099,4.54,0.858,108.95,-12.89,21.94,5.44,ok
ZBxyTuAYF4Y,Монеточка,Селфхарм,112.3,B,major,0.406,0.812,0.843,0.322,0.1702,0.267,3011.0,6531.6,2887.4,0.0423,0.1246,22.05,4.34,0.739,68.97,3.13,14.14,4.51,ok
Qskm9MTz2V4,Sheet Music Boss,Rush E 2,161.5,A,minor,0.638,0.724,0.74,0.138,0.1341,0.547,1526.4,2926.1,1678.3,0.0159,0.0798,24.492,3.74,0.574,132.59,-31.99,17.58,-10.39,ok
fdlj8BnOeqo,Beeano,Rush E (impossible!) music box,161.5,A,minor,0.772,0.456,0.804,0.023,0.147,0.497,2061.2,3709.8,2038.0,0.0063,0.1165,25.44,5.35,0.481,64.32,-42.78,-63.81,-41.34,ok
a_NbJCJoUM4,Валентин Стрыкало,Самый лучший друг,99.4,C,major,0.224,0.448,0.806,0.281,0.2941,0.22,2576.9,5051.6,2391.1,0.0297,0.1365,21.974,1.58,0.839,79.28,-25.99,26.47,3.31,ok
eKMLoQzYcxk,ssshhhiiittt!,Ничего,172.3,D#,minor,0.57,0.86,0.334,0.285,0.2084,0.253,2007.1,4083.0,2178.0,0.0143,0.0875,22.343,4.45,0.83,107.82,-13.99,38.28,3.46,ok
AmH4aQzkBOM,hehehe,Очень-очень,99.4,F,major,0.362,0.724,0.781,0.264,0.2622,0.379,2036.5,4314.7,2258.7,0.0148,0.0836,22.497,3.66,0.752,105.24,-6.06,27.26,3.47,ok
uB8pS9Lmr7k,Splean,Вниз головой,152.0,D,major,0.425,0.85,0.761,0.47,0.2294,0.317,2874.9,6233.0,2810.4,0.0386,0.1351,21.433,3.88,0.857,68.29,12.03,37.78,12.79,ok
L9tW7acsaxk,конец солнечных дней,забыты,152.0,F#,major,0.363,0.726,0.577,0.216,0.2835,0.248,1695.3,3801.4,2225.6,0.0066,0.0533,22.533,4.01,0.886,121.8,2.22,32.45,11.02,ok
4OpQK7Cmffw,Буерак,Кожанные туфли,95.7,C,minor,0.797,0.406,0.661,0.181,0.2268,0.167,3021.2,6043.2,2686.4,0.0333,0.149,23.313,5.68,0.899,57.49,7.99,45.37,-1.65,ok
a_cOaRNqjvQ,José Carlos,Homelander Theme | The Boys,112.3,D,minor,0.619,0.762,0.577,0.128,0.1117,0.679,1920.2,3830.4,2031.7,0.0075,0.1053,25.371,1.94,0.755,102.16,-11.46,19.76,2.26,ok
COFdMVKThuI,ssshhhiiittt!,Самым тупым,112.3,B,major,0.261,0.522,0.534,0.276,0.3643,0.163,2915.3,5753.3,2576.5,0.0544,0.1467,21.045,3.59,0.855,66.43,-12.76,35.6,2.44,ok
eZyIPbsIUk0,конец солнечных дней,я ненавижу дрейн,92.3,E,minor,0.669,0.662,0.753,0.25,0.256,0.341,2004.5,3929.7,2147.6,0.0159,0.0878,22.537,3.73,0.819,101.71,-19.33,35.76,13.78,ok
48IqSo8hEz4,Warday,Little Dark Age - Math,112.3,F,minor,0.709,0.582,0.369,0.209,0.2348,0.611,1758.8,4130.3,2369.2,0.01,0.0478,21.067,4.65,0.834,101.57,20.22,37.58,9.7,ok
qubT96VJjGk,конец солнечных дней,разъедаешь мне нутро,92.3,F#,minor,0.907,0.186,0.863,0.263,0.3191,0.231,2017.7,4286.1,2287.3,0.0153,0.0831,22.222,2.58,0.889,107.66,-8.98,29.25,3.88,ok
