videoId,artists,title,tempo,key,mode,minor_score,bittersweet,key_strength,percussive,energy_rms,dynamics,brightness,rolloff,bandwidth,flatness,zcr,contrast,onset_rate,pulse_clarity,mfcc1,mfcc2,mfcc3,mfcc4,status
PaBfQunSuwA,to the piano,комарово / piano cover,184.6,A,minor,0.692,0.616,0.806,0.04,0.1675,0.404,619.8,920.1,605.5,0.0,0.0434,26.487,4.36,0.727,210.64,12.16,-6.4,-9.52,ok
HjcSspYSfms,Твин Пикс,По шанхайским подвалам,152.0,D,minor,0.68,0.64,0.815,0.154,0.314,0.205,2608.6,5536.9,2638.1,0.0266,0.1008,22.56,4.49,0.88,74.11,3.17,40.41,11.7,ok
UCGCIghhocA,"Yuliya Lebedenko, Pavel Lyubomudrov, Metamorphose String Orchestra, Antonio Vivaldi","The Four Seasons, Violin Concerto No. 4 in F Minor, RV 297 ""Winter"": I. Allegro non molto",161.5,C,minor,0.842,0.316,0.819,0.047,0.0317,0.688,1813.7,3343.5,1772.9,0.0027,0.1078,26.355,4.87,0.896,109.06,-35.39,18.81,-7.17,ok
d0Jyvteqzrw,Eyedress,Jealous,123.0,A,minor,0.776,0.448,0.713,0.186,0.2191,0.173,2272.7,5352.1,2735.8,0.0198,0.0756,20.753,5.65,0.859,96.21,15.32,21.39,11.93,ok
WPw7nlluRdc,Lebanon Hanover,Gallowdance,136.0,G,minor,0.671,0.658,0.641,0.395,0.1131,0.583,1610.0,3372.6,1779.9,0.0441,0.0724,22.176,3.31,0.871,120.22,-1.76,45.81,3.41,ok
0Ur7K0wplsk,kuliet,Gallowdance | sped up,83.4,F#,major,0.467,0.934,0.426,0.394,0.0999,0.385,2010.8,4182.8,2099.5,0.0136,0.0861,23.003,4.1,0.876,106.83,5.71,45.31,-0.16,ok
WhpT7Klunl0,elettromanipolazione,crystal castles - leni,117.5,F#,minor,0.568,0.864,0.718,0.422,0.1935,0.473,2927.7,6614.1,2927.8,0.022,0.1014,23.606,2.3,0.815,58.42,12.78,19.65,-2.87,ok
XRaxU-KESE8,Instupendo,instupendo - six forty seven (slowed down),123.0,C,major,0.407,0.814,0.589,0.02,0.0756,0.67,619.3,1094.5,864.9,0.0003,0.0307,25.181,1.51,0.795,155.42,34.95,33.92,20.99,ok
BX0lKSa_PTk,"Oliver Tree, Robin Schulz",Miss You,143.6,F#,minor,0.54,0.92,0.765,0.197,0.2822,0.412,2878.9,6399.1,2844.5,0.0345,0.1204,22.7,4.25,0.87,66.97,2.36,16.2,6.43,ok
t_Kd_G7p6ZQ,Jacob's Piano,4 Beautiful Soundtracks | Relaxing Piano [10min],136.0,D,major,0.416,0.832,0.889,0.026,0.0534,0.542,570.9,882.9,618.1,0.0368,0.0464,24.665,3.53,0.666,193.46,37.34,-8.77,3.57,ok
-F9nCQtxkRw,AweLyrics,Hoobastank - The Reason (Lyrics),83.4,E,major,0.294,0.588,0.931,0.136,0.281,0.183,2534.8,5773.6,2708.0,0.0216,0.1023,23.119,2.39,0.854,81.42,14.33,33.78,10.14,ok
isvAwZkIe4g,ROMANE,Run (Slowed + Reverb),103.4,G,minor,0.655,0.69,0.652,0.234,0.2607,0.458,2191.7,4886.6,2441.3,0.0144,0.0647,22.968,5.42,0.923,91.58,-1.34,27.05,13.13,ok
XFkzRNyygfk,Radiohead,Creep,92.3,G,major,0.142,0.284,0.783,0.276,0.1388,0.418,2533.1,5481.0,2641.1,0.0262,0.1134,22.896,2.29,0.718,73.9,10.34,37.16,23.53,ok
5LRwYKpV-6A,Ludovico Einaudi,Einaudi: Fly (Official Visualiser),112.3,C#,minor,0.693,0.614,0.903,0.013,0.0846,0.284,720.2,1153.0,734.0,0.0,0.0469,26.778,5.41,0.82,206.47,-10.59,4.39,3.91,ok
1lqO-hhSpPo,ФИЛЬНОВ OFFICIAL,MORGENSHTERN ft. ИДУЩИЙ К РЕКЕ - SHOW (prod. checkoff),103.4,F#,minor,0.642,0.716,0.549,0.306,0.2007,0.552,1251.1,2613.5,1449.5,0.004,0.0459,23.567,3.87,0.79,150.03,-9.42,6.66,18.67,ok
9EYb6Nfw1Zg,Mainstream One,Джага-джага,129.2,G,minor,0.664,0.672,0.277,0.185,0.312,0.276,3130.2,6752.7,2986.8,0.0463,0.1118,21.05,4.75,0.851,53.2,11.71,31.11,15.96,ok
pudyIQcuGbw,María Saprina,Король и шут - Дурак и молния (PIANO COVER),184.6,C#,minor,0.859,0.282,0.892,0.017,0.0814,0.376,866.4,1707.8,971.7,0.0001,0.046,27.382,3.61,0.623,192.75,-40.57,28.01,9.71,ok
bwiKpARBngU,NanowaR of Steel,In the Sky,99.4,D#,major,0.442,0.884,0.677,0.533,0.1778,0.257,2961.1,6131.3,2715.4,0.0579,0.1531,20.11,5.01,0.88,62.5,-11.49,25.77,6.19,ok
_imOsDY7X9U,Plamenev,Вне смерти,129.2,F,minor,0.563,0.874,0.638,0.253,0.1973,0.471,2785.8,5681.0,2642.6,0.0306,0.1143,22.112,3.72,0.797,67.44,-8.9,24.93,9.05,ok
B-zH3Dgo7ow,Music Inside,Russian Cyberfolk Song (WITH ENGLISH SUBTITLES),136.0,E,major,0.39,0.78,0.698,0.116,0.1068,0.535,1994.0,3597.1,2289.9,0.0109,0.0932,25.321,3.35,0.769,90.38,8.65,16.47,4.76,ok
42nIjlB6iTE,Lord Vinheteiro,9 German Songs You've Heard and Don't Know The Name,99.4,A,minor,0.551,0.898,0.562,0.029,0.1071,0.51,618.9,1008.4,645.2,0.0003,0.0406,26.475,2.52,0.568,191.92,14.02,5.19,11.26,ok
JDLr75pbQU4,Lord Vinheteiro,9 French Songs You've Heard And Don't Know The Name,112.3,C#,major,0.319,0.638,0.6,0.036,0.0881,0.665,526.7,830.7,526.3,0.0432,0.0342,26.065,1.97,0.588,172.38,24.28,3.89,12.94,ok
YVkUvmDQ3HY,Eminem,Without Me,112.3,G,minor,0.503,0.994,0.515,0.468,0.2123,0.343,2543.3,5380.7,2667.6,0.0206,0.0825,23.57,4.15,0.834,78.43,13.26,30.9,21.34,ok
hqVMTPDILek,Karmin,Come With Me (Pure Imagination),86.1,G,major,0.247,0.494,0.52,0.556,0.2083,0.576,2552.7,5421.9,2678.2,0.035,0.1139,22.81,3.43,0.843,76.61,0.15,24.54,8.6,ok
izGwDsrQ1eQ,George Michael,Careless Whisper (Official Video),152.0,D,minor,0.843,0.314,0.846,0.32,0.0691,0.433,2806.5,6177.6,2830.6,0.0261,0.1273,23.142,3.12,0.773,74.79,20.82,31.02,12.94,ok
p_DTYD5DJqE,BABOOSHKA,BABOOSHKA - Надувная церковь (official video),95.7,A,minor,0.873,0.254,0.959,0.178,0.1934,0.548,2678.4,5798.0,2644.5,0.0315,0.1191,22.478,3.35,0.794,84.15,3.38,17.34,-2.62,ok
J3Ix-h0ucRs,JustMyFavStrangeMusic,MGMT - When You Die (Doomer Wave),123.0,C,major,0.249,0.498,0.668,0.197,0.1412,0.322,780.2,1482.6,800.3,0.0,0.0499,24.099,3.54,0.849,213.59,-29.41,10.6,24.2,ok
IOGKwCegXWE,AirQerre,Corbin - Giving Up - Lyrics,,,,,,,,,,,,,,,,,,,,,,download_failed
MtTBqIAQ434,JackStauber,Peppermint (feat. Lexy) - Jack Stauber,123.0,G#,major,0.277,0.554,0.865,0.22,0.1177,0.245,1428.4,2613.9,1312.3,0.0011,0.0892,25.399,4.16,0.812,167.69,-70.23,36.02,-11.52,ok
52Gg9CqhbP8,Stuck in the Sound,Let's Go,89.1,B,minor,0.546,0.908,0.796,0.187,0.2808,0.221,2388.6,5229.4,2547.0,0.0209,0.0947,22.414,1.91,0.787,85.23,1.14,31.16,3.46,ok
6oAqOFz6QsU,Duke Dumont,The Giver (Reprise),123.0,G,major,0.361,0.722,0.442,0.216,0.2039,0.344,2622.4,5470.1,2578.5,0.0245,0.1035,23.17,5.87,0.835,71.9,-3.37,28.29,4.96,ok
Kq4OtRsdXls,Alex Gaudino,Destination Calabria (feat. Crystal Waters),129.2,A,major,0.359,0.718,0.736,0.379,0.2279,0.387,3168.4,6655.9,2901.3,0.0557,0.1458,20.975,4.68,0.845,60.75,8.71,25.41,10.97,ok
vJ1CzvOKzVY,SuperKek,флекс кека подходит под любую песню 3,,,,,,,,,,,,,,,,,,,,,,download_failed
LONo9cICVAM,Mind Chill TV,Welcome to Mind Chill TV | Chill Your Mind in 360,89.1,C,minor,0.703,0.594,0.76,0.124,0.227,0.198,2242.3,4963.0,2461.2,0.0156,0.0944,23.559,1.88,0.796,96.93,12.15,32.32,-5.01,ok
_7wKjTf_RlI,Max Cooper,Order from Chaos,152.0,A,minor,0.649,0.702,0.55,0.268,0.1623,0.63,2052.5,4565.5,2428.4,0.0225,0.0725,21.378,5.64,0.739,105.23,8.64,18.49,9.02,ok
DKV7yIarRZA,Maths Town,Jungle of Dreams - Mandelbrot Fractal Zoom,76.0,E,minor,0.75,0.5,0.829,0.034,0.0991,0.356,749.7,1226.1,1098.8,0.0002,0.038,24.331,0.89,0.82,186.47,3.02,18.07,11.3,ok
8cgp2WNNKmQ,Maths Town,Sapphires - Mandelbrot Fractal Zoom (8k 60fps),129.2,G,minor,0.606,0.788,0.732,0.077,0.0872,0.624,693.5,1192.7,1128.7,0.004,0.0321,23.746,2.35,0.727,152.19,28.3,29.58,20.93,ok
bJT0TqxfdDE,Carl-Johan Örtendahl,Russian Soldiers Dancing to Moskau (English Version),129.2,C,minor,0.633,0.734,0.507,0.439,0.0523,0.354,2656.6,5723.4,2651.6,0.0376,0.13,21.947,4.49,0.844,83.61,-3.63,14.11,1.51,ok
h61QG4s0I3U,LaTebwaRules,The Supermen Lovers (feat. Mani Hoffman) · Starlight (Official Video),129.2,F,major,0.27,0.54,0.651,0.333,0.074,0.368,1742.0,3838.1,2217.5,0.0081,0.0613,22.276,4.18,0.84,114.69,1.29,24.72,12.52,ok
PppkNH3bKV4,Danny Casale | Coolman Coffeedan,PLEASE DONT BE SO SAD (watch this when your depressed),172.3,E,minor,0.57,0.86,0.386,0.158,0.1743,0.637,1581.1,3217.9,2126.7,0.0167,0.0531,23.17,2.63,0.72,113.58,21.37,27.84,13.48,ok
0MOtEJhkl2U,Patrik Pietschmann,Man of Steel Main Theme (piano version),172.3,C,major,0.266,0.532,0.921,0.034,0.0646,0.667,523.4,914.2,547.1,0.0,0.0332,26.07,1.46,0.67,206.01,14.09,7.11,13.95,ok
v70H0VlbZNE,PianoX,Yann Tiersen - Comptine d`un autre été | Piano cover,89.1,B,minor,0.662,0.676,0.926,0.026,0.1086,0.548,751.4,1204.6,661.3,0.0009,0.0581,25.795,3.71,0.893,192.91,-5.82,-18.58,7.46,ok
MXzKLpYTfBE,Patrik Pietschmann,Avatar Main Theme (piano version),66.3,D#,major,0.405,0.81,0.725,0.023,0.0771,0.44,670.6,1129.0,657.4,0.0,0.0463,26.582,2.74,0.645,213.3,-8.73,0.41,8.83,ok
frxT2qB1POQ,Rousseau,J.S. Bach - Prelude in C Major,258.4,C,major,0.124,0.248,0.868,0.015,0.0612,0.582,657.5,1198.3,810.7,0.0002,0.0357,25.066,3.05,0.691,188.21,22.23,-1.24,12.78,ok
4y33h81phKU,Patrik Pietschmann,Interstellar (Main Theme) - Piano Version,99.4,E,minor,0.548,0.904,0.79,0.008,0.0364,0.362,668.8,1023.5,627.1,0.0,0.0434,28.27,3.36,0.768,184.69,-1.08,8.42,7.98,ok
tHLYShcTtKo,Уроки игры на фортепиано,Бетховен Лунная соната / Beethoven Moonlight (piano cover + tutorial + ноты),112.3,B,major,0.16,0.32,0.892,0.013,0.0345,0.448,576.6,925.4,767.9,0.0,0.035,26.283,1.84,0.634,200.7,28.71,-10.93,12.03,ok
fKopy74weus,Imagine Dragons,Thunder,172.3,C,major,0.238,0.476,0.808,0.231,0.3096,0.331,1688.0,3438.6,1988.1,0.0072,0.0522,22.384,2.74,0.75,116.6,-19.08,26.15,7.1,ok
GKpVPugt0IU,егорbez,kah,99.4,B,minor,0.737,0.526,0.468,0.337,0.318,0.218,1224.2,2712.2,1811.9,0.0026,0.0359,22.39,5.96,0.824,127.89,19.38,54.21,24.77,ok
